type,tick,vehicle_id,total_distance,total_time,stops_made,average_speed,current_speed,is_dwelling,dwell_time_remaining,position_lon,position_lat,gap_m,vehicle_a,vehicle_b,active_vehicles,avg_tick_time_ms,total_stops
gap,46,,,,,,,,,,,12.211330664621194,V0,V1,,,
gap,46,,,,,,,,,,,186.33177658262042,V1,V2,,,
system,46,,,,,,,,,,,,,,3.0,0.0,3.0
vehicle,47,V0,0.00205,1497.773714299013,1.0,0.0,0.0001,True,438.51595657429317,-84.05224068,9.936396846,,,,,,
vehicle,47,V1,0.0013100000000000002,1420.013181956545,1.0,0.0,9e-05,True,485.5616018210071,-84.05227116,9.93629305,,,,,,
vehicle,47,V2,0.0035700000000000003,1523.4787304940487,1.0,0.0,0.0001,True,372.03266196074253,-84.05075913,9.935585816,,,,,,
gap,47,,,,,,,,,,,12.211330664621194,V0,V1,,,
gap,47,,,,,,,,,,,186.33177658262042,V1,V2,,,
system,47,,,,,,,,,,,,,,3.0,0.0,3.0
vehicle,48,V0,0.00205,1529.7279419480426,1.0,0.0,0.0001,True,449.51595657429317,-84.05224068,9.936396846,,,,,,
vehicle,48,V1,0.0013100000000000002,1448.096214266592,1.0,0.0,9e-05,True,496.5616018210071,-84.05227116,9.93629305,,,,,,
vehicle,48,V2,0.0035700000000000003,1573.681403874845,1.0,0.0,0.0001,True,383.03266196074253,-84.05075913,9.935585816,,,,,,
gap,48,,,,,,,,,,,12.211330664621194,V0,V1,,,
gap,48,,,,,,,,,,,186.33177658262042,V1,V2,,,
system,48,,,,,,,,,,,,,,3.0,0.0,3.0
vehicle,49,V0,0.00205,1553.617693668194,1.0,0.0,0.0001,True,459.51595657429317,-84.05224068,9.936396846,,,,,,
vehicle,49,V1,0.0013100000000000002,1481.300132718643,1.0,0.0,9e-05,True,506.5616018210071,-84.05227116,9.93629305,,,,,,
vehicle,49,V2,0.0035700000000000003,1587.9913896780877,1.0,0.0,0.0001,True,393.03266196074253,-84.05075913,9.935585816,,,,,,
gap,49,,,,,,,,,,,12.211330664621194,V0,V1,,,
gap,49,,,,,,,,,,,186.33177658262042,V1,V2,,,
system,49,,,,,,,,,,,,,,3.0,0.0,3.0
vehicle,50,V0,0.00205,1579.6630678849324,1.0,0.0,0.0001,True,470.51595657429317,-84.05224068,9.936396846,,,,,,
vehicle,50,V1,0.0013100000000000002,1513.911611519554,1.0,0.0,9e-05,True,517.5616018210071,-84.05227116,9.93629305,,,,,,
vehicle,50,V2,0.0035700000000000003,1626.2309898032827,1.0,0.0,0.0001,True,404.03266196074253,-84.05075913,9.935585816,,,,,,
gap,50,,,,,,,,,,,12.211330664621194,V0,V1,,,
gap,50,,,,,,,,,,,186.33177658262042,V1,V2,,,
system,50,,,,,,,,,,,,,,3.0,0.0,3.0
